bps_id,bps_name,county_fips,county_name,fips_place,fips_mcd,record_class,reason,first_year,last_year,units_2010_ymax,units_2000_ymax,sf,du,mf34,mf5p
464500,Madison County Part Unincorporated Area,119,Madison County,,00000,county_unincorporated,county_unincorporated,2000,2025,1837,4740,1837,0,0,0
857200,Winnebago County Unincorporated Area,201,Winnebago County,,00000,county_unincorporated,county_unincorporated,2000,2025,1199,8051,1133,48,18,0
217900,DuPage County Unincorporated Area,043,DuPage County,,00000,county_unincorporated,county_unincorporated,2000,2025,1118,2473,1096,4,12,6
749800,St. Clair County Part Unincorporated Area,163,St. Clair County,,00000,county_unincorporated,county_unincorporated,2000,2025,970,2629,968,2,0,0
394300,Kane County Unincorporated Area,089,Kane County,,00000,county_unincorporated,county_unincorporated,2000,2025,926,4807,832,0,0,94
418000,Lake County Part Unincorporated Area,097,Lake County,,00000,county_unincorporated,county_unincorporated,2000,2025,904,3329,904,0,0,0
848800,Will County Unincorporated Area,197,Will County,,00000,county_unincorporated,county_unincorporated,2000,2025,783,4160,759,0,0,24
159100,Clinton County Unincorporated Area,027,Clinton County,,00000,county_unincorporated,county_unincorporated,2002,2025,693,1293,689,0,4,0
463600,Macoupin County Unincorporated Area,117,Macoupin County,,00000,county_unincorporated,county_unincorporated,2003,2025,661,1117,661,0,0,0
491200,McHenry County Unincorporated Area,111,McHenry County,,00000,county_unincorporated,county_unincorporated,2000,2025,627,2888,625,2,0,0
616000,Peoria County Part Unincorporated Area,143,Peoria County,,00000,county_unincorporated,county_unincorporated,2000,2025,600,2245,598,2,0,0
414700,LaSalle County Unincorporated Area,099,LaSalle County,,00000,county_unincorporated,county_unincorporated,2003,2025,573,1562,491,0,0,82
701200,Sangamon County Unincorporated Area,167,Sangamon County,,00000,county_unincorporated,county_unincorporated,2000,2025,532,1162,494,2,0,36
388300,Jo Daviess County Unincorporated Area,085,Jo Daviess County,,00000,county_unincorporated,county_unincorporated,2000,2025,529,1814,529,0,0,0
618100,Perry County,145,Perry County,,00000,county_unincorporated,county_unincorporated,2003,2025,523,523,523,0,0,0
288700,Fulton County Unincorporated Area,057,Fulton County,,00000,county_unincorporated,county_unincorporated,2000,2025,511,997,490,0,0,21
